Source,Target,Type,timestamp
882t9h,1,direct,1522370701.0
88adg4,1,direct,1522445761.0
887ibv,1,direct,1522409757.0
888lkb,1,direct,1522423044.0
882hem,1,direct,1522368392.0
87ydxa,1,direct,1522325500.0
8818dn,1,direct,1522358743.0
884b03,1,direct,1522381547.0
888ix1,1,direct,1522422115.0
886kjr,1,direct,1522400522.0
889esq,1,direct,1522434884.0
888e3h,1,direct,1522420216.0
886b7v,1,direct,1522398103.0
888cca,1,direct,1522419550.0
88awh1,1,direct,1522450322.0
881ao8,1,direct,1522359312.0
882h83,1,direct,1522368353.0
885i1n,1,direct,1522390951.0
883qkh,1,direct,1522377306.0
889pr5,1,direct,1522438832.0
8885s4,1,direct,1522417270.0
882a5u,1,direct,1522366892.0
886v06,1,direct,1522403279.0
886rzq,1,direct,1522402495.0
88810g,1,direct,1522415637.0
887ypq,1,direct,1522414878.0
880xa9,1,direct,1522356001.0
883nto,1,direct,1522376773.0
87vu67,1,direct,1522302075.0
87z0r3,1,direct,1522332879.0
88a7ty,1,direct,1522444282.0
887g6s,1,direct,1522409137.0
8811ug,1,direct,1522357136.0
88516y,1,direct,1522387081.0
87yqo6,1,direct,1522329401.0
887aip,1,direct,1522407568.0
88794t,1,direct,1522407155.0
8878ku,1,direct,1522407002.0
8878ee,1,direct,1522406953.0
87v5dx,1,direct,1522296839.0
8876se,1,direct,1522406499.0
885o3v,1,direct,1522392459.0
8813fd,1,direct,1522357520.0
886vul,1,direct,1522403500.0
886vr5,1,direct,1522403477.0
889d5c,1,direct,1522434258.0
88911p,1,direct,1522429558.0
883ddn,1,direct,1522374750.0
87vpuh,1,direct,1522301113.0
886ls5,1,direct,1522400842.0
886lc2,1,direct,1522400721.0
87t3ot,1,direct,1522281985.0
88abs6,1,direct,1522445309.0
886hf9,1,direct,1522399690.0
886fro,1,direct,1522399239.0
886fja,1,direct,1522399175.0
886fd8,1,direct,1522399136.0
886f3p,1,direct,1522399071.0
87wq58,1,direct,1522309602.0
886ce7,1,direct,1522398391.0
887phr,1,direct,1522411914.0
883ny6,1,direct,1522376794.0
8891di,1,direct,1522429696.0
881del,1,direct,1522359951.0
884mrw,1,direct,1522383963.0
87zqdl,1,direct,1522342103.0
883jpy,1,direct,1522375977.0
8865f9,1,direct,1522396678.0
8862yq,1,direct,1522396073.0
883bgl,1,direct,1522374350.0
882hwx,1,direct,1522368494.0
885zff,1,direct,1522395217.0
887bk8,1,direct,1522407853.0
87tcoi,1,direct,1522283760.0
87xjbg,1,direct,1522317000.0
8826c5,1,direct,1522366065.0
887xex,1,direct,1522414483.0
885q6s,1,direct,1522392955.0
885oq8,1,direct,1522392598.0
885nmz,1,direct,1522392329.0
883prk,1,direct,1522377137.0
885gom,1,direct,1522390645.0
882kxb,1,direct,1522369067.0
885dre,1,direct,1522389971.0
883hbg,1,direct,1522375523.0
883g2q,1,direct,1522375289.0
887k18,1,direct,1522410259.0
882b19,1,direct,1522367074.0
883c9h,1,direct,1522374517.0
880yns,1,direct,1522356350.0
88274b,1,direct,1522366241.0
880x3q,1,direct,1522355944.0
87tsnh,1,direct,1522286966.0
8850b5,1,direct,1522386883.0
884z2d,1,direct,1522386582.0
87tm8a,1,direct,1522285638.0
